매도일자	종목코드	종목명	청산수량	매입평균가	매입금액	매도평균가	매도금액	수수료+제세금	손익금액	수익률(%)	국가	거래소
2021/12/27	'BULZ	MICROSECTORS FANG & INNOVATION 3X LEVER	"95"	"26.3500"	"2,503.0800"	"29.2000"	"2,774.1600"	"3.6600"	"267.4200"	"10.68"	미국	미국
2021/12/27	'LABU	DIREXION DAILY S&P BIOTECH BULL 3X ETF	"444"	"43.6000"	"19,358.9700"	"39.0800"	"17,351.1200"	"25.6600"	"-2,033.5100"	"-10.50"	미국	미국
2021/12/27	'TNA	DIREXION SMALL CAP BULL 3X ETF	"211"	"91.5300"	"19,312.2500"	"86.4500"	"18,240.9500"	"26.1400"	"-1,097.4400"	"-5.68"	미국	미국
2021/12/27	'WEBL	DIREXION DAILY DOW JONES INTERNET BULL	"243"	"74.6300"	"18,135.5000"	"67.4700"	"16,395.2100"	"24.1300"	"-1,764.4200"	"-9.72"	미국	미국
