통화	외화예수금	인출가능금	외화현금미수금
외화기타대여금	외화주문가능금액	외화연체이자	외화장부금액(원)
미국달러	"14,190.42"	"12,803.43"	"0"
"0"	"65,311.44"	"0"	"16,782,899"
